worker,worker-cosine,job,output.FrameType.count,duration,judgment,unit,worker-agreement,spam,wqs
A1506T1PAYRT16,0.14213246873,1,1.33333333333,44.6666666667,3,3,0.529320987654,False,0.75776049602
A15NNYXDLCI2SR,0.571035110006,1,1.00828729282,24.4502762431,361,361,0.279974204105,False,0.181445245763
A17D6BK59S31BM,0.278750315233,1,2.66666666667,25.8333333333,6,6,0.434606481481,False,0.644176549326
A1909MOQZUXZZ5,0.339801878194,1,1.02555910543,808.61341853,313,313,0.426226405288,False,0.46195574601
A1A41ASXCSFKDX,0.41023217538,1,1.0,47.0,1,1,0.214285714286,False,0.194924384436
A1FVXS8IM5QYO8,0.103261455777,1,1.375,56.75,8,8,0.645138888889,False,0.752815428201
A1J0GU26323WVA,0.0239078396423,1,1.0,36.0,1,1,0.75,False,0.808465826111
A1J8TVICSRC70W,0.332109493163,1,1.41884816754,75.7539267016,191,191,0.43588329265,False,0.448429742079
A1X94LTZZQMHTP,0.497149497614,1,1.02083333333,6.72685185185,432,432,0.314302332901,False,0.275932650732
A1ZRK6K5JUPJAV,0.0723771847636,1,1.5,57.0,2,2,0.638888888889,False,0.801467686516
A20NITCOBY4775,0.316513873827,1,1.0,323.0,1,1,0.35119047619,False,0.407023041834
A219VCQZADQ45W,0.155038150202,1,1.05128205128,19.9487179487,39,39,0.61842322456,False,0.695276290103
A2541C8MY0BYV3,0.667454005733,1,1.0,5.93693693694,111,111,0.182569023044,False,0.0988411427249
A2653BIPJKEMRK,0.265638558416,1,1.80904522613,27.4170854271,199,199,0.402293558748,False,0.56537876728
A26XN1TM6CV01T,0.419177007822,1,1.5,45.5,2,2,0.35,False,0.25090526591
A2AWBDW9V1E9KT,0.272276882591,1,1.29166666667,2499.20833333,144,144,0.448185367552,False,0.561502924336
A2B6WQG0A9CKXQ,0.214086339629,1,1.39130434783,322.068322981,161,161,0.497850816014,False,0.62578734781
A2BOXK0KVXGKPU,0.243002529926,1,1.32684824903,46.3852140078,257,257,0.569638381993,False,0.590384875446
A2CJFO19NY4T5R,0.260307631747,1,1.09273182957,604.042606516,399,399,0.553443886802,False,0.561410541768
A2CK0OXMPOR9LE,0.302365600822,1,1.5369928401,476.978520286,419,419,0.437346974554,False,0.515183924419
A2EEL9YYUHL5SK,0.283454147116,1,1.64516129032,406.806451613,62,62,0.481500444535,False,0.507120754716
A2FUMA4UR6S920,0.594393355095,1,3.06315789474,483.115789474,95,95,0.194141728494,False,0.156710428818
A2KXARDIOGJL8T,0.903326351095,1,1.0,210.0,1,1,0.0102040816327,False,0.00550897864475
A2MPA5OAT635HG,0.571410303879,1,1.45762711864,200.553672316,177,177,0.288632186209,False,0.204548763745
A2NJTYYY37DNO,0.769216356911,1,1.24825986079,24.3851508121,431,431,0.118450835951,False,0.0336963493514
A2P065E9CYMYJL,0.327574015406,1,1.33718244804,306.64665127,433,433,0.450080432655,False,0.492155351637
A2QQY4S73JO639,0.434887402674,1,1.42931937173,46.0942408377,191,191,0.354401813981,False,0.368831134376
A2UF2FRGVW4T89,0.425014907236,1,1.33333333333,70.5,6,6,0.27306763285,False,0.336931835676
A2UHF7UL7G0Y78,0.336086953018,1,1.10096153846,592.076923077,208,208,0.488508797467,False,0.481599588459
A31XNLA9REVGXL,0.452806433778,1,1.0,251.0,4,4,0.301388888889,False,0.336821506652
A37WXDYYT7RCZ0,0.249471986736,1,2.675,42.9375,80,80,0.401121163273,False,0.553515741245
A3AGJSGD009WMM,0.0330124431695,1,1.0,23.0,1,1,0.767857142857,False,0.923323791025
A3AWC4P8QUK1XB,0.428536613349,1,1.58823529412,48.8235294118,17,17,0.302279224447,False,0.331835414053
A3CFNUD7VR2E1E,0.206629817283,1,1.66666666667,118.666666667,3,3,0.4125,False,0.48836180579
A3GLMBZSG3VU4P,0.216554559571,1,1.96261682243,1144.85981308,107,107,0.498928317303,False,0.622470592928
A3GM78FCDY293T,0.277030262118,1,1.34736842105,1285.10526316,95,95,0.487908813399,False,0.555735497502
A3O1I9MATO3ZZN,0.267420583832,1,3.40196078431,660.465686275,204,204,0.351485830264,False,0.52754847935
A3QC57KUVJP5EW,0.0122370346709,1,2.0,26.0,1,1,0.678571428571,False,0.849035795781
A3QZMGTVA4VO44,0.391419274415,1,1.54545454545,55.3168044077,361,361,0.420694948629,False,0.398688508263
A3SDFAOJW87FGP,0.284134480554,1,1.0,57.3,40,40,0.509230900585,False,0.528453506582
A5V3ZMQI0PU3F,0.272332573988,1,1.46153846154,252.769230769,26,26,0.423544921854,False,0.521679208582
A62H1UZADLF7Q,0.38520677175,1,1.5,67.0,2,2,0.330208333333,False,0.309698432849
A7MTKYSUBNLFF,0.376910009563,1,1.19075144509,193.0,173,173,0.430623834711,False,0.472297794918
AHT8HA3JRWVGV,0.325927469807,1,1.27378190255,615.593967517,431,431,0.42162966156,False,0.500424092513
AMG9Y1YLBTKIV,0.255771133258,1,1.33783783784,1946.18918919,74,74,0.474796088343,False,0.574626264798
AOAZMLP27GD81,0.21360515651,1,1.41772151899,234.101265823,79,79,0.513622908638,False,0.63020967368
AQ7RNVB2GZKUZ,0.192956935464,1,2.0,40.0,2,2,0.515625,False,0.618213171214
AQXRHIMQ7UK7O,0.451717685008,1,1.0,69.0,1,1,0.242857142857,False,0.19473795184
ARJ6SPCZJVARE,0.282362277876,1,1.475,1920.75,38,38,0.53174304727,False,0.530719302689
ARTSG66V2MOJ6,0.243772636236,1,1.38461538462,51.3076923077,13,13,0.44711781777,False,0.532016623641
ATR6RB1RULOC0,0.29501343573,1,1.04347826087,46.1884057971,69,69,0.434466204274,False,0.532167288316
