frame,definition,example,frame_word,def_len
f:Artificiality,"An <em>Entity</em> is evaluated for whether or not it belongs to a particular <em>Type</em> in a context where its category membership is doubtful. The criterion or criteria that are relevant to evaluating <em>Type</em> membership depend on the individual lexical units and/or on the context. Typically, either the material composition of the <em>Entity</em>, its method of creation, or the identity (and proper authority) of its creators are critical for proper category membership. Note that <em>Entity</em> also covers behaviors.
","It can be hard to get your money back after discovering you've bought a <span id='phrase_example'>bogus</span>
 autograph  for hundreds or thousands of dollars! 

A <span id='phrase_example'>bogus</span>  policeman  pulling over motorists was arrested after stopping a car carrying four real officers.

You people are pretty thick if you think you have evidence to prove that  the moon landing  was <span id='phrase_example'>fake</span>.
",TRUE,543
f:Difficulty,"An <em>Experiencer</em> has an easy or difficult time carrying out an <em>Activity</em>. The ease or difficulty associated with the <em>Activity</em> seems to often be associated with a prominent participant. However, we consider this impression to be due to the syntax and pragmatics of the relevant sentence constructions and employ no special FE for such participants. The <em>Degree</em> of ease or difficulty is often specified as well as a set of <em>Circumstances</em>. A <em>Parameter</em> may be mentioned that indicates in which respect the <em>Activity</em> is judged to be easy or difficult.
","(1)  John  is <span id='phrase_example'>easy</span>  to please .

(2) It is <span id='phrase_example'>easy</span>  to get Alex annoyed .

(3)  Smithers  is  very  <span id='phrase_example'>tough</span>  for me   to please .

(4)  VWs  are <span id='phrase_example'>easy</span>  to repair .

(5)  The dating of western sculpture  is <span id='phrase_example'>difficult</span>.

(6)  In that kind of wind   the course  is  physically   very  <span id='phrase_example'>tricky</span>.

(7)  The last question on the exam  was <span id='phrase_example'>hard</span>. 

(8) The last one was a <span id='phrase_example'>hard</span>  question   to answer . ",TRUE,618
f:Body_description_part,"This frame is concerned with words that describe a person based on a salient part of their body.
","He was a <span id='phrase_example'>blonde</span>  guy .

 He  was a <span id='phrase_example'>peg-leg</span>.
",TRUE,97
f:Measure_mass,"This frame is concerned with nouns that denote <em>Unit</em>s of measurement for masses. The Frame Elements are <em>Unit</em>, <em>Count</em>,  and <em>Stuff</em>.","Jelena bought  three  <span id='phrase_example'> kilos </span>  of apples .
Add  a  <span id='phrase_example'> pound </span>  of sugar .",TRUE,171
f:Being_strong,"An <em>Entity</em> can bear a great outer force so as to resist destruction and damage.
","The great and <span id='phrase_example'>impregnable</span>  fortress  still stands today.

 His heart  is  by no means  <span id='phrase_example'>strong</span>, so he should ease into his exercise regime.",TRUE,90
f:Body_description_holistic,"This frame covers descriptions of an entire human body, viewed as a gestalt (as opposed to descriptions based on salient body parts).  The Frame Elements are <em>Individual</em> and <em>Figure</em>.  
"," Chuck  is <span id='phrase_example'>muscular</span>.

 Chuck  has a <span id='phrase_example'>muscular</span> body.
",TRUE,205
f:Ratification,"A <em>Ratifier</em> responds to a <em>Proposal</em> constructed by another party to make it binding over the <em>Ratifier</em>'s jurisdiction or constituency.
","The <span id='phrase_example'>ratification</span>  of the Kyoto protocol  has been a long, hard slog.

 The US  is considering <span id='phrase_example'>ratifying</span>  the cybercrime treaty . 

 The Malaysian government  will <span id='phrase_example'>ratify</span>  the UN's anti-smoking programme  by the end of the year. ",TRUE,165
f:Activity_ready_state,"The <em>Protagonist</em> is in an initial state, before beginning to be involved in the <em>Activity</em>, but all pre-conditions for performance of the <em>Activity</em> have been satisfied.  In many cases, the <em>Protagonist</em> is an intentional agent, but there are other uses in which the agent is deprofiled, and the <em>Protagonist</em> is an entity which is essential to the <em>Activity</em>.  
Alternatively, the <em>Activity</em> may be indicated by a <em>Salient entity</em> which stands in for the <em>Activity</em>.  This <em>Salient entity</em> may also be an intentional agent, but need not be.
"," She  's not <span id='phrase_example'>ready</span> !   .

 He  's <span id='phrase_example'>ready</span>  to talk  , I think .

Is  the UK government  <span id='phrase_example'>ready</span>  to do a u-turn on passport-ID cards  ?

Check and see if  Sal  is <span id='phrase_example'>ready</span>  for the bathtub  .

 The world  is finally <span id='phrase_example'>prepared</span>  for him  !",TRUE,633
f:Indigenous_origin,"An <em>Entity</em> began its existence in the context of a location of <em>Origin</em>, which is a discourse-salient place, or culture.
","Obviously there are  species   that  are <span id='phrase_example'>native</span>  to China  or used in Chinese Medicine that aren't used in Western or Cherokee Medicine and vice versa. 

The <span id='phrase_example'>indigenous</span>  people , women and the elderly are the most affected.   

The Athenians believed that  they  were '<span id='phrase_example'>autochthonous</span>'  in Attica . ",TRUE,140
f:Completeness,"A <em>Whole</em>, an entity with a substructure, is assessed for whether or not it has all the necessary parts that are defined for it or for an entity of its kind. The entity can be a concrete physical thing, an abstract thing, or a process with goals or sub-goals. 
","What happens after  the PPB investigation  is <span id='phrase_example'>complete</span>? 

Enter the number of days since the last <span id='phrase_example'>complete</span>  backup  was made.

This distinguishes them from organisms in the phylum Platyhelminthes, who have only an <span id='phrase_example'>incomplete</span>  digestive tract .

We now have an  almost  <span id='phrase_example'>complete</span>  understanding  of the model

Auditors should also assess the accuracy and <span id='phrase_example'>completeness</span>  of the systems and data .
When the entity is a process with a goal, then what is assessed for completeness can either be the extent to which all candidate participants are involved in or affected by the process, or the stage that the process has reached. Thus the last of the above examples can either mean that all parts of the model are understood or that the model is fully understood as opposed to, for  instance, merely intuitively apprehended.",TRUE,270
f:Ruling_legally,"An <em>Authority</em> with the power to make decisions hands down a <em>Finding</em> over a question presented in a formal or informal <em>Case</em>. 
"," The judge  <span id='phrase_example'>ruled</span>  yesterday   that the revisions were not adequate .   

 A high court in London  <span id='phrase_example'>ruled</span>  on the case   that a vulture fund can extract more than $20 million from Zambia for a debt .

 In the California case ,  a judge  <span id='phrase_example'>ruled</span>  Oct. 12   that Tendler must pay the bloggers' legal fees .
",TRUE,157
f:Trajector-Landmark,"Basic Image Schema: contains a (more) profiled element, the <em>Trajector</em>, and an un- or less profiled element, the <em>Landmark</em>.  In combination with a schematically-defined <em>Profiled region</em> (with a pre-defined relationship to the <em>Landmark</em>), the <em>Landmark</em> serves as the basis for understanding the status or location of the <em>Trajector</em>.  
This schema essentially establishes a point-of-view or focus.  above.prep and below.prep both make use of the verticality schema, but are differentiated by whether the <em>Landmark</em> is associated with the upper region and the <em>Profiled region</em> with the lower or vice-versa.
"," The cat  <span id='phrase_example'>in</span>  the shed  purred violently .

 The shed  <span id='phrase_example'>around</span>  the cat  shook .

We 'll have to  leave  <span id='phrase_example'>before</span>  noon  .

In the 1990s , though ,  the rate at which DNA could be read  revved <span id='phrase_example'>into</span>  high gear  .
",TRUE,709
f:Cardinal_numbers,"This is the primary frame evoked by the cardinal numbers.
","Dr. Malik has confined  almost  a  <span id='phrase_example'>score</span>   of such unfortunates in his basement , you know.

There were <span id='phrase_example'> thirty </span>  of the little blue creatures  staring up at him.

Stephen has more than  five  <span id='phrase_example'> hundred </span> in his closet!   

There are  just over   six  <span id='phrase_example'>billion</span>  people  in the world today.",TRUE,58
f:Temperature,"An <em>Entity</em> has a <em>Temperature</em> characterized by the target.  The <em>Temperature</em> is a value of the temperature <em>Attribute</em>. 
"," The pan  is already  too  <span id='phrase_example'>hot</span>  to touch .

 The walk-in  was <span id='phrase_example'>freezing</span>, but it was better than hanging out in the kitchen.


Note that in this  frame, the <fen>Entity</fen> does not experience the temperature, but is merely described as being in a certain externally verifiable state.  
Thus 
Open a window; I'm too <span id='phrase_example'>hot</span>. is not in frame but rather in Subjective_temperature.
",TRUE,160
f:Ambient_temperature,"The <em>Temperature</em> in a certain environment, determined by <em>Time</em> and <em>Place</em>, is specified.
","It's  too  <span id='phrase_example'>hot</span>  to do anything   today .

 Nome  is  pretty  <span id='phrase_example'>cold</span>  this time of  year 

 Last Tuesday  was a  real  <span id='phrase_example'>scorcher</span>.

 Tomorrow  is gonna be  <span id='phrase_example'>chilly</span>.
",TRUE,119
f:Measure_scenario,"An <em>Entity</em> has a particular <em>Value</em> for an <em>Attribute</em> which may be described in several different ways, including:
","
<fen>Degree</fen> of deviation from the <fen>Value</fen> expected for the kind of <fen>Entity</fen> seen in a particular instance, or in comparison to some other explicit comparison set.


Absolute quantification in terms of the number of <fen>Count</fen>s of a particular <fen>Unit</fen> which equal the <fen>Value</fen> for the <fen>Attribute</fen>.",TRUE,144
f:Clarity_of_resolution,"The <em>Outcome</em> of a contest is described in terms of the <em>Margin</em> between what would be required for victory and the actual <em>Outcome</em>.
","The Basque nationalists won a <span id='phrase_example'>narrow</span>  victory  in the regional elections on Sunday.

It was a major victory for workers, and a <span id='phrase_example'>decisive</span>  defeat  for the Tory.",TRUE,161
f:Clemency,"An <em>Executive authority</em> exercises their power to reduce or remove negative consequences for someone who has been labeled an <em>Offender</em> who participated in an <em>Crime</em>.
"," A Fort Worth man convicted of a robbery his brother later confessed
to committing  was granted <span id='phrase_example'>clemency</span>  on December 20, 2002 ,  by Governor Rick Perry .

A Fort Worth man convicted  of a robbery his brother later confessed
to committing  was granted <span id='phrase_example'>clemency</span> on December 20, 2002, by Governor Rick Perry.

Engel represented Robert Bacon,  the first man   Easley  gave <span id='phrase_example'>clemency</span>  in 2001 .    

Ohioans will receive a blow-by-blow account of arguments before the Ohio Parole Board on whether  Cincinnatian John Byrd Jr.  should be executed or granted <span id='phrase_example'>clemency</span>  for a 1983 murder .   ",TRUE,195
f:Increment,"A member or members of a <em>Class</em> have just been  mentioned or are present in the discourse setting and now a different instance  (or group of instances) of the same class is referred to.
","My husband left me for <span id='phrase_example'>another</span>  woman  -- and now wants to get back together again!

My husband left me for  <span id='phrase_example'>another</span>   woman  -- and now wants to get back together again!",TRUE,196
f:Used_up,"Through use, a <em>Resource</em> is diminished in quality or quantity (up to complete attrition) such that it becomes less capable of sustaining future use. 
"," My entire life savings  is <span id='phrase_example'>depleted</span>  due to university and medical bills .

 All significant oil and gas reserves  are <span id='phrase_example'>exhausted</span> or have dwindled to an uneconomical level except for those of the Middle East.

Use shampoo and conditioner every day until  the shampoo and conditioner  are  completely  <span id='phrase_example'>used up</span>.",TRUE,160
f:Historic_event,"In the course of history, an <em>Event</em> or <em>Entity</em> is taken to have importance or significance.
","Throughout the campaign  activists  have <span id='phrase_example'>made</span>  financial  <span id='phrase_example'>history</span>  as one by one major corporations have yielded to protester power 

 The conference  was <span id='phrase_example'>historic</span>  for Atlanta's growth as a city .

Many of the <span id='phrase_example'>historic</span>  sites  offer additional outdoor recreation activities.

The James River is arguably the most <span id='phrase_example'>historic</span>  river  in the country and one of the most important rivers in the Southeast.

Take in the <span id='phrase_example'> history </span>, the sawdust-covered floors, and the legendary backroom where the ale flowed during Prohibition.",TRUE,112
f:Launch_process,"An <em>Agent</em> acts to begin the life of a <em>Process</em>.
"," After discovering her knack for organization ,  she decided to try to   <span id='phrase_example'>launch</span>  a career in human resources .

 The City of Bratislava  has <span id='phrase_example'>launched</span>  a pilot project of providing internet access in the city centre .",TRUE,83
f:Emotions_by_stimulus,"An <em>Experiencer</em>, <em>Expressor</em>, <em>Event</em>, or <em>State</em> has an emotion as brought on by an <em>Stimulus</em> or <em>Topic</em>.
","The <span id='phrase_example'>joyful</span>  reunion  took place on Sunday.

The Polish-born Pope was driven past <span id='phrase_example'>jubilant</span>  crowds .

 I  am <span id='phrase_example'>glad</span>  about the sheep  .",TRUE,163
f:Mental_stimulus_exp_focus,"An <em>Experiencer</em> has an emotion as caused by a <em>Stimulus</em> or concerning a <em>Topic</em>. 
","I fall asleep hours later to the sound of their <span id='phrase_example'>engrossed</span>  murmuring .

 Most of these great lords  are  downright  <span id='phrase_example'>infatuated</span>  with Italy .",TRUE,127
f:Mental_stimulus_stimulus_focus,"A <em>Stimulus</em> serves to bring about an emotion of mental stimulation in an <em>Experiencer</em>.
","You will not easily find a  more  <span id='phrase_example'>absorbing</span>  box-set of piano discs .

 New classes of free radical  are  particularly  <span id='phrase_example'>interesting</span>  to chemists .",TRUE,107
f:Custom,"A <em>Behavior</em> is classified as entrenched for a <em>Protagonist</em> or a <em>Society</em>. The <em>Behavior</em> may be associated with a particular <em>Domain</em> of experience and described with a <em>Descriptor</em>. This indicates that the <em>Behavior</em> is commonly performed by the <em>Protagonist</em> or members of the <em>Society</em>.
","It is an  old    Jewish  <span id='phrase_example'>custom</span>. 

He was unaware of the  Japanese  <span id='phrase_example'>custom</span>  of waiting until the giver had departed . 

 The  ancient  <span id='phrase_example'>tradition</span>  of swan-upping  has been taking place on the river Thames.

Smithers thought that  hunting lions  was just another  native  <span id='phrase_example'>custom</span> 

Marko showed great respect for the  social  <span id='phrase_example'>customs</span>  of his people .

 When I reply to debates , it is  my  <span id='phrase_example'>custom</span>  to have heard all the speeches that have been made . ",TRUE,374
f:Stage_of_progress,"An <em>Entity</em> is at a particular stage of its development.
"," The <span id='phrase_example'>Next Generation</span>  Internet  (NGI) Program has been successfully completed.

Osama bin Laden, prime suspect in the US terror attacks, is outfoxing intelligence agencies with his <span id='phrase_example'>low-tech</span>  communication methods .

 Kids  are  much more  <span id='phrase_example'>advanced</span>  today   than they were in our era  that is for sure.",TRUE,66
f:First_experience,"An implicit experiencer has an <em>Experience</em> for the first time. Some LU's may specifically imply an agentive activity.
"," In Italy   the term was  <span id='phrase_example'>first</span>  used by the Venetians in 1546 

 This time ,  the comet was  <span id='phrase_example'>first</span>  seen on the night of 19th October, 1805 by European observers Jean Louis Pons, Johann Sigismund Huth, and Alexis Bouvard ",TRUE,128
f:Continued_state_of_affairs,"A <em>State of affairs</em> has held and continues to hold up to the <em>Reference occasion</em>. 
"," <span id='phrase_example'>To date</span> ,  the Department already has numerous requests for new systems to be developed .

 SAGE has no activities planned   <span id='phrase_example'>as of yet</span> .

PBGC guarantees the benefit  that you had earned  <span id='phrase_example'>up to</span>  the date of plan termination 

I think that  she 's  <span id='phrase_example'> still </span>  in her office  .",TRUE,103
f:Intoxication,"This frame concerns people being in an altered mental state that is induced by an <em>Intoxicant</em>.
"," Cory  was <span id='phrase_example'>drunk</span>.

 Nutty  stormed in <span id='phrase_example'>drunk</span>  as a fiddler .",TRUE,105
f:People_by_religion,"This frame contains words for individuals, i.e. humans, with respect to their <em>Religion</em>. The <em>Religion</em> is generally incorporated, but with some lexical units it is specified separately.
","The bells call the <span id='phrase_example'> faithful </span> to evensong   

A  90-year-old  <span id='phrase_example'> Baptist </span> claims to have seen God personally in his backyard.",TRUE,206
f:Presence,"An <em>Entity</em> exists at a particular <em>Location</em>, at a particular <em>Time</em>, as observed by an implicit observer. A <em>Depictive</em> and/or <em>Duration</em> phrase is often found.
This frame differs from Existence in that the <em>Location</em> is profiled as a ground where an observer is conceived of as confirming the <em>Entity</em>'s existence.
"," Liquid water  was <span id='phrase_example'>present</span>  on the surface of Mars   billions of years ago .

 Urate  was <span id='phrase_example'>present</span>  in varying concentrations   in the bathing solution only .

 No one  was <span id='phrase_example'>present</span>.   

 Your  <span id='phrase_example'>presence</span> is appreciated.   
In some cases, the <fen>Location</fen> may be recoverable from phrases that primarily express peripheral information:

Was  the senator  <span id='phrase_example'>present</span>  for the committee vote ?

Was the senator <span id='phrase_example'>present</span>  for the committee vote ?",TRUE,381
f:Guest_and_host,"Two individuals, the <em>Guest</em> and the <em>Host</em> are in a temporary social relationship within which the <em>Host</em> provides use of a location or resources for the <em>Guest</em> at a location highly associated with the <em>Host</em> (in many cases, where the <em>Host</em> lives or works). The <em>Guest</em> is not expected to reciprocate the hospitality of the <em>Host</em> while the relationship holds, though may be expected to act as <em>Host</em> at a later time.
"," Commander Silvers  was  the President's  <span id='phrase_example'>guest</span>  last week   at the White House .

 Steve Stephens  will be  your  <span id='phrase_example'>host</span>  for the weekend .",TRUE,502
f:Social_interaction_evaluation,"In this frame an <em>Evaluee</em> is judged by a (usually implicit) <em>Judge</em> to be of a certain character based on her or his <em>Behavior</em> towards other human beings; a specific <em>Affected party</em> may be overtly mentioned along with the <em>Degree</em> to which the <em>Evaluee</em> behaves appropriately towards others. The<em>Behavior</em> alone may be mentioned with the understanding that these behaviors characterize a property of the unmentioned <em>Evaluee</em>. The <em>Evaluee</em>'s <em>Behavior</em> may be in the context of a <em>Topic</em>.
"," It was <span id='phrase_example'>nice</span>  of you   to send a card .  

  Jim  was <span id='phrase_example'>thoughtful</span>  to email the directions . 

  For Martha to smoke in the car  was  extremely  <span id='phrase_example'>inconsiderate</span>. 

 It was <span id='phrase_example'>cruel</span>  that he continued to call her . 

  Mary  was <span id='phrase_example'>cruel</span>  to her friends . 

 Samson was a <span id='phrase_example'>thoughtless</span>  person . 

 Mrs. Robinson  was always <span id='phrase_example'>considerate</span>  of her students . 

  The press  was always <span id='phrase_example'>kind</span>  about Madonna . 

  Lee  was <span id='phrase_example'>nice</span>  about my car accident . 

 I appreciated his <span id='phrase_example'>kind</span>  offer of the car .",TRUE,592
f:Age,"An <em>Entity</em> has existed for a length of time, the <em>Age</em>. The <em>Age</em> can be characterized as a value of the age <em>Attribute</em>, or a <em>Degree</em> modifier may express the deviation of the <em>Age</em> from the norm. The <em>Expressor</em> exhibits qualities of the age of the <em>Entity</em>.
"," This building  is  twenty thousand years  <span id='phrase_example'>old</span>.

 My grandpa  is  really  <span id='phrase_example'>old</span>

 Junior  is  only five weeks  <span id='phrase_example'>old</span>.

A cunning <span id='phrase_example'>oldish</span>  voice  called out from the crowd.

 His   <span id='phrase_example'>age</span>  was  23   at the time .

  People  of   <span id='phrase_example'>age</span>   55  or older should consult their physician. 

I have a  13-year -<span id='phrase_example'>old</span>  cousin 

 My grandma  is <span id='phrase_example'>old</span>
There are additional patterns that the LUs in this frame occur in which are not licensed by a particular lexical head but by a construction.  Additionally, there are patterns that evoke this frame without any overt lexical head that are part of this frame.

She is 45 years of <span id='phrase_example'>age</span>.

Billy  is 13.
",TRUE,335
f:Typicality,"An <em>Entity</em> is generally, or with regard to a particular <em>Feature</em>, representative of the <em>Comparison set</em> of which it is a member.
","The Elan truly is an <span id='phrase_example'>unusual</span>  car ; the first and only Lotus with a front engined/front wheel drive layout, and the first new Lotus to be introduced since 1975.

 I need a plain, <span id='phrase_example'>vanilla</span>  example  that doesn't use PRINT! 

How smart is the <span id='phrase_example'>average</span>  drug user/experimenter ? 

It's not <span id='phrase_example'>unusual</span>  to be loved by anyone , It's not unusual to have fun with anyone,

Is  lying  <span id='phrase_example'>normal</span>  for a child this age , and how can I best handle this situation?",TRUE,159
f:Passing_off,"An <em>Agent</em> acts in such a way as to cause others to think that an <em>Item</em> is an instance of a particular kind of <em>Simulated entity</em>.
"," He  had, under the name of Armitage, <span id='phrase_example'>passed</span>  her  <span id='phrase_example'>off</span>  as a member of one of
the most distinguished families of the capital .

He undoubtedly believes you are  the impostor   who  <span id='phrase_example'>palmed</span>  himself  <span id='phrase_example'>off</span> at Bar Harbor
 as the Baron von Kissel .

Knowing his likeness to the family of Lord Polperro  she  <span id='phrase_example'>palmed</span>  him  <span id='phrase_example'>off</span>  on them   as a distant relative .",TRUE,159
f:Heat_potential,"An <em>Insulator</em> is judged for its potential to increase the body temperature of an <em>Experiencer</em>. The <em>Activity</em> that the <em>Experiencer</em> engages in to experience the heat and the <em>Circumstances</em> in which the <em>Insulator</em> is judged may also be provided.
","That looks like a  really  <span id='phrase_example'>warm</span>  bed .

 This blanket  is too <span id='phrase_example'>toasty</span>  for me .",TRUE,304
f:Commutation,"An <em>Executive authority</em> exchanges one penalty, the <em>Original punishment</em>, for another less severe one, the <em>New punishment</em>. The <em>Offender</em> is who received the <em>Original punishment</em> is usually expressed as a modifier.
"," On December 15, 1971 ,  Governor Winfield Dunn  conditionally <span id='phrase_example'>commuted</span>  his sentence   to twenty years .

On December 15, 1971, Governor Winfield Dunn conditionally <span id='phrase_example'>commuted</span>  his  sentence to twenty years.

She served about two years before  President Carter  <span id='phrase_example'>commuted</span>  her sentence .

She served about two years before President Carter <span id='phrase_example'>commuted</span>  her  sentence.",TRUE,264
