,output.FrameType,aqs,aqs_initial
abandonment,11045,0.18254656792,0.154411764706
abounding_with,11045,0.374888882495,0.276739356179
absorb_heat,11045,0.0501396659325,0.132075471698
abundance,11045,0.914581335063,0.794685990338
abusing,11045,0.61291387615,0.5
accomplishment,11045,0.517595530121,0.43869047619
accoutrements,11045,0.0236637307828,0.107142857143
accuracy,11045,1e-08,1e-08
achieving_first,11045,0.259260404661,0.249500356888
active_substance,11045,0.0806637144245,0.214285714286
activity_finish,11045,0.367306058253,0.342592592593
activity_ongoing,11045,0.399453179175,0.309219858156
activity_pause,11045,1e-08,1e-08
activity_prepare,11045,0.0187391573555,0.047619047619
activity_ready_state,11045,1e-08,1e-08
activity_resume,11045,0.335000634341,0.269406392694
activity_start,11045,0.466000744395,0.349206349206
activity_stop,11045,0.426901069326,0.334358974359
actually_occurring_entity,11045,1e-08,1e-08
adding_up,11045,0.256296005394,0.195205479452
adducing,11045,1e-08,1e-08
adjusting,11045,0.245557961362,0.206587837838
adopt_selection,11045,0.429801045282,0.333529411765
aesthetics,11045,1e-08,1e-08
affirm_or_deny,11045,1e-08,1e-08
age,11045,1e-08,1e-08
aggregate,11045,0.213376670877,0.136824324324
aging,11045,0.906469165926,0.722408026756
agree_or_refuse_to_act,11045,1e-08,1e-08
aiming,11045,0.548404943609,0.41116751269
altered_phase,11045,1e-08,1e-08
alternatives,11045,1e-08,1e-08
amalgamation,11045,0.357940769882,0.286004603862
amassing,11045,0.560086952434,0.428571428571
ambient_temperature,11045,1e-08,1e-08
ammunition,11045,1e-08,1e-08
amounting_to,11045,0.599526155265,0.524244663383
annoyance,11045,1e-08,1e-08
appeal,11045,0.266443323918,0.217821782178
appellations,11045,0.0118370227435,0.05
apply_heat,11045,0.0484442165281,0.142857142857
appointing,11045,0.69727767608,0.530621770702
architectural_part,11045,1e-08,1e-08
arranging,11045,0.631784379934,0.463136176066
arriving,11045,0.647036567026,0.507762000382
artificiality,11045,1e-08,1e-08
artistic_style,11045,1e-08,1e-08
assemble,11045,0.536618085496,0.399685534591
assessing,11045,0.297748923643,0.250406130266
assistance,11045,0.380529691251,0.238851727982
attaching,11045,0.629282518922,0.471970083443
attack,11045,0.502876172819,0.28813559322
attempt,11045,0.717165263593,0.559421921922
attempt_means,11045,0.723495378413,0.675784563189
attempt_suasion,11045,0.129145648093,0.131085526316
attending,11045,0.0677821759636,0.128571428571
attention,11045,1e-08,1e-08
attention_getting,11045,1e-08,1e-08
attributed_information,11045,0.250948368169,0.225490196078
authority,11045,1e-08,1e-08
